vyhral;delka_hry
0;19.35
0;30.05
0;36.65
0;36.73
1;43.93
0;34.97
0;47.35
0;85.28
0;90.18
0;68.82
0;29.75
0;122.88
0;47.90
0;80.33
1;52.48
0;36.85
0;22.18
0;145.67
0;31.28
0;146.58
0;35.30
0;64.02
0;50.18
0;146.68
0;20.78
0;212.32
0;23.28
0;82.38
0;30.03
0;59.12
0;33.17
0;107.05
0;34.58
0;16.78
0;77.20
0;116.72
0;43.25
0;48.28
0;25.72
0;80.90
0;84.77
0;89.05
0;18.63
1;38.72
0;35.15
0;42.57
0;90.17
0;35.75
0;103.12
0;189.05
0;42.88
0;28.67
0;36.07
0;61.72
0;51.52
0;162.02
0;139.17
0;134.78
0;90.17
0;31.00
0;15.93
0;66.17
0;35.47
0;46.68
0;23.52
0;42.43
0;37.42
0;77.25
0;77.57
0;26.73
0;18.57
0;152.90
0;100.95
0;38.33
0;94.70
0;41.05
0;24.20
0;115.85
0;47.20
0;111.77
0;39.00
0;22.15
0;190.63
0;19.43
0;15.48
0;164.77
0;20.88
0;30.02
0;86.97
0;115.03
0;23.03
0;19.88
0;65.25
0;284.13
0;111.88
0;33.60
0;145.88
0;46.27
0;118.40
0;333.07
0;177.10
0;128.80
0;124.12
0;54.13
0;124.58
0;24.20
0;62.15
0;36.12
0;73.78
0;74.65
0;32.18
0;25.00
0;25.15
0;33.82
0;41.73
0;45.97
0;31.72
0;68.02
0;74.97
0;34.95
0;20.22
0;40.55
0;155.87
0;145.62
0;61.67
0;42.85
0;155.30
0;172.02
0;199.23
0;38.18
0;54.38
0;207.77
0;52.52
0;42.85
0;176.82
0;56.03
0;48.05
0;283.32
0;34.55
0;34.72
0;29.28
0;22.48
0;54.72
0;37.55
0;34.33
0;108.07
0;112.40
0;100.55
0;29.87
0;138.07
0;10.37
0;50.07
0;20.20
0;36.88
0;60.05
0;131.23
0;36.60
0;27.82
0;67.73
0;26.17
0;31.97
0;28.47
0;175.18
1;30.07
0;27.92
0;76.15
0;81.92
0;73.62
0;64.43
0;21.78
0;32.15
0;43.38
1;24.10
0;55.67
0;198.53
0;43.07
0;99.20
0;49.33
0;46.45
0;81.35
0;83.60
0;58.22
0;47.45
0;56.22
0;33.78
0;130.07
0;26.53
0;47.40
0;32.32
0;66.17
0;244.95
0;166.03
0;263.07
0;80.67
0;24.47
0;71.17
0;15.27
0;143.08
0;23.17
0;33.68
0;33.22
0;36.63
0;50.27
0;65.62
0;124.60
0;50.67
0;27.98
0;31.18
0;51.68
0;24.73
0;45.07
0;20.85
0;36.25
0;104.57
0;23.02
0;90.20
0;36.00
0;22.02
0;52.52
0;29.63
0;15.25
0;27.20
0;34.95
0;30.05
0;22.42
0;74.58
0;61.02
0;19.15
0;25.90
0;34.38
0;64.15
0;222.58
0;21.10
0;62.75
0;48.50
0;188.52
0;20.83
0;184.15
0;131.60
0;26.18
0;34.72
0;143.27
0;17.42
0;191.53
0;29.05
0;23.27
0;15.32
0;176.95
0;34.40
0;99.73
0;56.97
0;28.07
0;16.48
0;41.18
0;91.28
0;47.82
0;66.90
0;28.28
0;81.58
0;149.80
0;36.68
0;60.62
0;107.33
0;48.00
0;88.17
0;242.45
1;60.10
0;23.72
0;95.43
0;263.28
0;100.22
0;141.48
0;66.52
0;28.27
0;101.18
0;34.50
0;34.37
0;79.88
0;119.37
0;35.58
0;83.82
0;24.38
0;131.18
0;76.95
0;43.93
0;47.57
0;20.87
0;95.68
0;60.10
0;69.92
0;30.88
1;59.92
0;31.97
0;30.05
0;44.45
0;57.13
0;75.87
0;41.53
0;35.58
0;169.13
